"Enable Search Score Debugging","Enable Search Score Debugging"
"Minimum Search Score","Minimum Search Score"
"Decimal value. Start from 1.0 and increment by 5.0 to find the ideal value.","Decimal value. Start from 1.0 and increment by 5.0 to find the ideal value."
